,GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,over_successful,under_successful
0,9/30/2017,11700001,1610612744,1610612743,2017,102,0.411,0.833,0.121,17,53,108,0.444,0.676,0.464,23,49,0,Intertops,180,223.0,-110,210,Pinnacle Sports,238,222.5,108,116.2264151,104.3207547,111.1768926,110.5341415,0,1
1,9/30/2017,11700002,1610612747,1610612750,2017,99,0.441,0.706,0.167,27,48,108,0.416,0.8,0.3,28,49,0,Pinnacle Sports,238,214.5,-110,207,Bookmaker,93,216.0,-102,104.4355401,111.2984072,105.205303,105.6936869,0,1
2,11/1/2017,21700111,1610612752,1610612745,2017,97,0.433,0.846,0.308,23,42,119,0.477,0.762,0.365,21,46,0,5Dimes,19,214.0,-107,216,Pinnacle Sports,238,215.5,-102,99.91666667,107.1833333,110.787037,104.0509259,1,0
3,11/1/2017,21700107,1610612755,1610612737,2017,119,0.465,0.56,0.371,36,53,109,0.436,0.704,0.348,22,49,1,Pinnacle Sports,238,209.0,-104,228,5Dimes,19,209.0,-105,105.0285714,107.7714286,101.0919118,104.2830882,1,0
4,11/1/2017,21700108,1610612764,1610612756,2017,116,0.446,0.8,0.333,20,45,122,0.494,0.816,0.375,23,45,0,Pinnacle Sports,238,227.5,-105,238,Heritage,169,228.0,-105,109.9722222,104.2777778,105.3666667,115.8666667,1,0
5,11/1/2017,21700110,1610612748,1610612741,2017,97,0.41,0.895,0.387,21,48,91,0.404,0.632,0.25,20,54,1,5Dimes,19,196.0,-105,188,Pinnacle Sports,238,196.5,-105,102.90625,104.125,96.23333333,106.3666667,0,1
6,11/1/2017,21700115,1610612762,1610612757,2017,112,0.378,0.861,0.448,16,55,103,0.398,0.741,0.265,17,53,1,Heritage,169,191.5,-105,215,5Dimes,19,192.0,-105,100.8,95.4,109.5833333,99.66666667,1,0
7,11/1/2017,21700109,1610612738,1610612758,2017,113,0.488,0.842,0.415,30,52,86,0.432,0.833,0.3,24,26,1,Pinnacle Sports,238,195.0,-101,199,Bovada,999996,196.0,-110,103.4166667,94.81666667,93.1125,102.8875,1,0
8,11/1/2017,21700113,1610612740,1610612750,2017,98,0.429,0.857,0.258,27,38,104,0.494,0.667,0.273,20,47,0,5Dimes,19,224.5,-105,202,Pinnacle Sports,238,225.0,-105,105.172619,108.4375,108.2604167,106.8333333,0,1
9,11/1/2017,21700114,1610612743,1610612761,2017,129,0.534,0.655,0.5,35,43,111,0.494,0.64,0.355,20,38,1,Heritage,169,217.0,-105,240,Pinnacle Sports,238,217.5,-105,110.2922705,108.9746377,106.5013736,101.6277473,1,0
10,11/1/2017,21700116,1610612746,1610612742,2017,119,0.526,0.828,0.464,27,49,98,0.393,0.8,0.333,20,38,1,5Dimes,19,207.0,-108,217,Pinnacle Sports,238,207.5,-103,105.68,105.11,99.375,103.25,1,0
11,11/1/2017,21700105,1610612766,1610612749,2017,126,0.536,0.759,0.56,21,41,121,0.495,0.8,0.528,29,40,1,Heritage,169,203.0,-105,247,Pinnacle Sports,238,203.0,-101,102.3333333,101.75,99.2254902,104.2591036,1,0
12,11/1/2017,21700106,1610612739,1610612754,2017,107,0.5,0.7,0.226,25,41,124,0.544,0.769,0.615,35,43,0,5Dimes,19,217.5,-105,231,Pinnacle Sports,238,217.5,-103,102.9571429,108.4285714,106.9778912,103.4251701,1,0
13,11/1/2017,21700112,1610612763,1610612753,2017,99,0.476,0.688,0.333,21,31,101,0.507,0.857,0.448,25,38,0,BetOnline,1096,206.0,100,200,5Dimes,19,206.0,-105,102.8247549,99.01715686,108.7857143,102.6785714,0,1
14,11/2/2017,21700117,1610612759,1610612744,2017,92,0.391,0.739,0.292,19,46,112,0.518,0.75,0.5,30,41,0,Heritage,169,220.0,-105,204,5Dimes,19,220.0,-102,102.7428571,99.12857143,120.1428571,112.2,0,1
15,11/2/2017,21700118,1610612757,1610612747,2017,113,0.465,0.889,0.409,22,41,110,0.544,0.741,0.222,16,32,1,Heritage,169,212.0,-105,223,5Dimes,19,212.0,-102,108.702381,100.7857143,100.7613636,108.6113636,1,0
16,11/3/2017,21700122,1610612764,1610612739,2017,122,0.536,0.677,0.393,25,37,130,0.561,0.929,0.444,20,34,0,Heritage,169,225.0,-105,252,Pinnacle Sports,238,225.5,-101,110.7,106.6166667,103.4125,109.375,1,0
17,11/3/2017,21700125,1610612742,1610612740,2017,94,0.386,0.773,0.265,19,47,99,0.404,0.769,0.241,23,53,0,5Dimes,19,211.0,-105,193,Pinnacle Sports,238,211.5,-107,99.66071429,104.3214286,106.1142857,110.6,0,1
18,11/3/2017,21700119,1610612765,1610612749,2017,105,0.474,0.821,0.308,21,39,96,0.47,0.889,0.4,27,36,1,Heritage,169,204.0,-105,201,Pinnacle Sports,238,204.0,-100,104.0714286,102.1309524,104.1,107.5571429,0,1
19,11/3/2017,21700120,1610612753,1610612741,2017,83,0.407,0.6,0.286,23,38,105,0.471,0.917,0.483,23,48,0,Pinnacle Sports,238,204.5,-103,188,Heritage,169,204.5,-105,108.4375,102.375,95.41666667,105.1666667,0,1
